#{"t_start": 1615654982.11275, "env_id": "MountainCarContinuous-v0"}
r,l,t
-73.138704,999,32.02872
-20.304157,999,43.606137
-16.853007,999,55.111492
-36.304572,999,66.692091
-41.711577,999,78.515812
90.135528,401,83.007888
69.613037,820,92.591737
88.853304,264,95.586826
76.515945,573,102.194046
85.624431,394,106.618607
85.728387,522,112.900658
92.689093,322,116.675143
88.447607,352,120.756869
64.224823,696,128.530179
69.11941,497,134.391136
85.378452,313,138.060965
81.672015,439,142.844894
89.526251,308,146.509018
64.430941,705,154.603842
94.492441,214,157.188891
93.291961,145,158.682883
93.079625,225,161.249021
82.235893,649,168.974439
-25.107804,999,180.407745
-19.349583,999,191.926341
80.293888,957,203.008381
-14.068793,999,214.458845
-9.979573,999,225.928923
-9.968302,999,237.712375
-5.053111,999,249.127781
-5.572037,999,260.561005
-5.080266,999,272.102252
-5.30816,999,283.575218
-7.919252,999,295.426813
-8.711837,999,306.912867
-7.152479,999,318.556376
-7.14834,999,329.961179
-8.048189,999,341.765576
-7.055192,999,353.227259
-6.322142,999,364.779125
-5.961095,999,376.271954
-5.142719,999,387.708045
-6.42967,999,399.686661
-5.380762,999,411.075993
-9.832823,999,422.536952
-9.01278,999,434.12127
-8.39672,999,445.588157
-9.687938,999,457.399663
-10.056284,999,469.006505
-10.188089,999,480.53116
-8.083017,999,492.077519
-9.480866,999,503.845121
-8.539856,999,515.285534
-14.612227,999,526.774499
-13.491115,999,538.193068
-11.952711,999,549.542906
-12.489797,999,561.349355
-18.434423,999,572.846978
-21.392428,999,584.277426
-16.032584,999,595.755005
-22.215743,999,607.719195
-19.684463,999,619.337563
-24.934587,999,630.994327
-26.003788,999,642.510748
-24.152634,999,654.036272
-25.89028,999,666.051395
-32.360811,999,677.675354
-32.158511,999,689.184311
-32.285164,999,701.012535
-27.810168,999,712.768781
-22.577132,999,724.35043
-20.888001,999,735.852746
-16.737723,999,747.188162
-15.846127,999,758.62306
-14.505684,999,770.408025
-14.495138,999,781.830626
-14.426867,999,793.282511
-13.696708,999,804.631615
-14.967979,999,816.01477
-19.436712,999,827.730219
-20.430568,999,839.181312
-22.902311,999,850.672468
-17.96754,999,862.054461
-13.460237,999,873.755932
-12.64614,999,885.13085
-11.919546,999,896.473181
-10.656212,999,907.901409
-8.876985,999,919.391411
-9.005087,999,931.27883
-11.785608,999,942.841516
-9.604316,999,954.220358
-10.143212,999,965.618935
-10.53341,999,977.406682
-7.514967,999,988.928447
-8.434613,999,1000.506049
-8.030524,999,1012.04107
-8.376527,999,1023.524885
-6.424895,999,1035.292654
-7.914772,999,1046.68125
-7.07634,999,1058.048273
-6.936858,999,1069.449381
-4.717259,999,1081.327621
-4.047878,999,1092.781502
-3.58081,999,1104.28438
-4.545983,999,1115.692218
-3.424067,999,1127.169114
-4.539375,999,1138.990984
-5.507499,999,1150.496729
-5.173688,999,1162.032723
-5.95612,999,1173.549846
